structure_name,left_cell_count,right_cell_count,total_cells,left_volume_mm3,right_volume_mm3,total_volume_mm3,left_cells_per_mm3,right_cells_per_mm3
Nucleus of Roller,0,0,0,0.01903125,0.019296875,0.038328125,0,0
Ventral part of the lateral geniculate complex,0,0,0,0.205296875,0.1875625,0.392859375,0,0
"Gustatory areas, layer 2/3",0,0,0,0.166765625,0.166765625,0.33353125,0,0
Lateral habenula,0,0,0,0.15540625,0.155421875,0.310828125,0,0
"Gustatory areas, layer 5",0,0,0,0.22415625,0.21803125,0.4421875,0,0
"Accessory olfactory bulb, glomerular layer",0,0,0,0.054546875,0.043203125,0.09775,0,0
Rhomboid nucleus,0,0,0,0.035015625,0.0415,0.076515625,0,0
pyramid,0,0,0,0.332265625,0.329828125,0.66209375,0,0
"Accessory olfactory bulb, granular layer",0,0,0,0.079515625,0.057640625,0.13715625,0,0
pyramidal decussation,0,0,0,0.02915625,0.038,0.06715625,0,0
"Primary somatosensory area, barrel field, layer 2/3",0,0,0,0.621796875,0.61378125,1.235578125,0,0
Linear nucleus of the medulla,0,0,0,0.03121875,0.029734375,0.060953125,0,0
"Accessory olfactory bulb, mitral layer",0,0,0,0.09875,0.072921875,0.171671875,0,0
Area postrema,0,0,0,0.0241875,0.031859375,0.056046875,0,0
Lateral vestibular nucleus,0,0,0,0.105890625,0.09825,0.204140625,0,0
Lateral mammillary nucleus,0,0,0,0.026484375,0.0251875,0.051671875,0,0
"Anterior cingulate area, dorsal part, layer 2/3",0,0,0,0.27740625,0.274515625,0.551921875,0,0
Anterior pretectal nucleus,0,0,0,0.570484375,0.611859375,1.18234375,0,0
Superior vestibular nucleus,0,0,0,0.13790625,0.131765625,0.269671875,0,0
Lateral posterior nucleus of the thalamus,0,0,0,0.60396875,0.582984375,1.186953125,0,0
Arcuate hypothalamic nucleus,0,0,0,0.10109375,0.103546875,0.204640625,0,0
Spinal vestibular nucleus,0,0,0,0.318984375,0.313046875,0.63203125,0,0
Lateral preoptic area,0,0,0,0.1939375,0.234515625,0.428453125,0,0
sensory root of the trigeminal nerve,0,0,0,0.231953125,0.228921875,0.460875,0,0
Nucleus raphe pallidus,0,0,0,0.023546875,0.0625625,0.086109375,0,0
Anterior tegmental nucleus,0,0,0,0.026515625,0.026828125,0.05334375,0,0
"Anterolateral visual area, layer 5",0,0,0,0.080203125,0.080796875,0.161,0,0
"Temporal association areas, layer 4",0,0,0,0.127078125,0.105640625,0.23271875,0,0
solitary tract,0,0,0,0.004796875,0.005015625,0.0098125,0,0
"Dorsal auditory area, layer 6b",0,0,0,0.012375,0.01134375,0.02371875,0,0
"Midbrain reticular nucleus, retrorubral area",0,0,0,0.064375,0.06615625,0.13053125,0,0
"Posterior auditory area, layer 6a",0,0,0,0.031140625,0.02928125,0.060421875,0,0
"Lateral septal nucleus, caudal (caudodorsal) part",0,0,0,0.2555,0.265140625,0.520640625,0,0
"Primary auditory area, layer 2/3",0,0,0,0.207,0.178671875,0.385671875,0,0
"Dorsal auditory area, layer 5",0,0,0,0.141359375,0.124,0.265359375,0,0
Anteroventral nucleus of thalamus,0,0,0,0.199609375,0.197859375,0.39746875,0,0
"posteromedial visual area, layer 6a",0,0,0,0.050015625,0.054328125,0.10434375,0,0
"Lateral septal nucleus, rostral (rostroventral) part",0,0,0,0.8050625,0.85878125,1.66384375,0,0
"Nucleus of the lateral olfactory tract, molecular layer",0,0,0,0.043796875,0.044796875,0.08859375,0,0
Reticular nucleus of the thalamus,0,0,0,0.73246875,0.65421875,1.3866875,0,0
Anteroventral preoptic nucleus,0,0,0,0.030796875,0.035890625,0.0666875,0,0
"Lateral septal nucleus, ventral part",0,0,0,0.24509375,0.277390625,0.522484375,0,0
"Nucleus of the lateral olfactory tract, pyramidal layer",0,0,0,0.05821875,0.06409375,0.1223125,0,0
"Posterolateral visual area, layer 2/3",0,0,0,0.0673125,0.067296875,0.134609375,0,0
Nucleus sagulum,0,0,0,0.0418125,0.040578125,0.082390625,0,0
Anteroventral periventricular nucleus,0,0,0,0.062859375,0.069265625,0.132125,0,0
"Retrosplenial area, lateral agranular part, layer 6b",0,0,0,0.012578125,0.013734375,0.0263125,0,0
"Anteromedial visual area, layer 1",0,0,0,0.042546875,0.045703125,0.08825,0,0
Suprachiasmatic nucleus,0,0,0,0.02571875,0.025734375,0.051453125,0,0
Bed nucleus of the anterior commissure,0,0,0,0.002984375,0.00334375,0.006328125,0,0
